,times
哈哈,1163
哈哈哈,1032
哈哈哈哈,905
申遗,68
好,65
了,59
,56
活,43
我,42
，,36
好好,34
EDG,27
？,22
的,20
你,19
！,18
关灯,16
这,15
edg,14
哥,14
：,14
开,12
有,12
是,12
啊,11
还,11
赏,10
牛,10
死,10
果实,9
果子,9
好家伙,9
家伙,9
爆炸,9
笑,8
啊啊啊,8
一遍,7
叫,7
买,7
小,7
很,6
gala,6
这个,6
虎,6
配音,6
（,6
）,6
挂,6
建议,6
吗,6
就,6
声音,5
好像,5
当,5
啊哈,5
批,5
币,5
绝,5
像,5
？？？,5
秀,5
团,4
配,4
哈哈笑,4
都,4
吼吼,4
翻译,4
直接,4
再来,4
身份,4
得,4
原版,4
湿,4
必须,4
被,4
呢,4
到,4
成,4
身份证,4
不,4
兄弟,4
挺,4
吧,4
糟,4
xswl,3
霜,3
没,3
师爷,3
出来,3
三,3
把,3
冒犯,3
知道,3
经典,3
怎么,3
！！！,3
厉害,3
可以,3
就是,3
赶紧,3
成果,3
Ghost,3
说,3
高能,3
许,3
念,3
口型,3
卧槽,3
对,3
上,3
一模一样,3
声线,3
一样,3
最后,3
申,3
刷,3
他,3
》,3
前方,3
草,3
《,3
可,2
？？,2
还行,2
兹,2
打,2
门牌,2
要,2
门牌号,2
！！,2
狗头,2
。,2
你报,2
审,2
牌号,2
个,2
ad,2
再,2
呀,2
拿,2
觉得,2
骗,2
uzi,2
：？？？,2
让,2
梗,2
子弹,2
着,2
队友,2
飞,2
葛,2
大爷,2
音,2
永,2
遗,2
活口,2
太,2
小号,2
蚌埠,2
hhhhhhhhh,2
爱,2
杀猪,2
余,2
诗,2
nbnb,2
住,2
猪仔,2
活儿,2
在,2
波,2
打下,2
少,2
也,2
连了,2
嘴里,2
玩,2
！！！！,2
大佬,2
点,2
粑,2
给,2
逼,2
绝世,2
能,2
走,2
合适,2
那,2
什么,2
仙,2
卢,2
灯,1
今日,1
关着,1
遍,1
亲,1
亿,1
惊喜,1
第五,1
又,1
不开,1
DK,1
瑞,1
优势,1
doge,1
替身,1
坏,1
埋,1
精神,1
失败,1
图,1
嫖,1
白,1
faker,1
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,1
这么,1
帷幕,1
自,1
香,1
塔,1
新人,1
防御,1
mad,1
赢家,1
真正,1
姐,1
花,1
么,1
流传,1
特,1
妙,1
G,1
D,1
E,1
以为,1
～,1
﻿,1
大风,1
原,1
告诉,1
游,1
米哈,1
感谢,1
再说,1
好话,1
糊弄人,1
糊弄,1
视频,1
呐,1
盗,1
救命,1
牛皮,1
smi,1
二,1
火,1
果然,1
戳,1
针,1
确实,1
不许,1
们,1
不能,1
挨打,1
有事吗,1
有事,1
起来,1
站起,1
眼镜,1
戴眼镜,1
右边,1
作,1
神,1
造,1
连,1
gazi,1
原片,1
必,1
EdgEDG,1
经济,1
一万,1
嗯,1
打好,1
算了,1
怪,1
起,1
you,1
EDGedg,1
嘛,1
hhhhhhhhhh,1
灵性,1
TO,1
酒桶,1
世界,1
鬼才,1
模仿,1
本,1
真身,1
葛优,1
弹幕,1
说道,1
如是说,1
如是,1
Uzi,1
飞扬,1
云飞扬,1
兮,1
带,1
一起,1
“,1
崩,1
实是,1
ilid,1
变强,1
码,1
扫,1
落泪,1
型,1
嘴,1
有点像,1
有点,1
真,1
原声,1
急,1
没死,1
tm,1
姜文,1
看完,1
刚,1
”,1
揭开,1
乌,1
淀粉,1
野果,1
接报,1
几遍,1
好几遍,1
好几,1
看,1
好笑,1
最好,1
野果子,1
打野,1
属实,1
快,1
水晶,1
曹,1
笋,1
夺,1
c,1
掏出,1
袜子,1
身份证号,1
证号,1
绝活,1
大哥,1
粉,1
啦,1
而已,1
TES,1
天,1
逆,1
hhhhhhhhhhhhhhhhhhhh,1
博,1
滔,1
直播间,1
直播,1
退出,1
咧咧,1
骂咧咧,1
骂咧,1
骂骂咧咧,1
骂骂,1
猪杂,1
勒,1
忘本,1
’,1
活字,1
踩,1
污渍,1
冲,1
稀,1
维克多,1
维克,1
请,1
呗,1
四局,1
行,1
谁,1
射,1
含沙,1
骂谁,1
桑,1
指,1
别,1
活字印刷,1
活字印刷术,1
印刷,1
印刷术,1
第四局,1
第四,1
想,1
道具,1
嘴里塞,1
茶,1
狂笑,1
钉,1
拍,1
┴┴┴┴┴,1
≧▽≦ツ,1
o,1
孤身,1
一,1
画面,1
对头,1
爸,1
啥,1
NB,1
明,1
出击,1
指压,1
派,1
港,1
推拿,1
合肥,1
体,1
护,1
精油,1
老衲,1
练,1
弹,1
两半,1
吊,1
意思,1
好意思,1
好意,1
不好意思,1
不好,1
寻思,1
发条,1
毛病,1
只,1
刘,1
火钳,1
挨骂,1
IGnbEDG,1
外露,1
霸气,1
整,1
爷,1
句,1
没笑,1
前面,1
耍耍,1
跟,1
极好,1
究,1
恶心,1
呸,1
过,1
奥,1
不了,1
不至于,1
Hhhhhhh,1
抢险,1
国人,1
韩国,1
已经,1
后门,1
拳头,1
至于,1
德,1
锤子,1
麻,1
棒棒,1
很棒,1
食,1
雀,1
yysy,1
路,1
下,1
刺客,1
阿婆,1
主,1
娃,1
换,1
RNG,1
离谱,1
表示,1
棒,1
？？？？？,1
真的,1
问人,1
看一遍,1
：？,1
更合,1
李,1
和,1
换成,1
感觉,1
？？？？？？？？？？,1
靠,1
嘻嘻,1
