,times
我,322
！,298
加油,231
，,221
后浪,182
吧,178
奔涌,173
,165
等,128
高考,117
大学,74
中考,73
了,70
的,58
！！！,48
年,48
来,42
定当,39
必胜,38
清华,37
不凡,36
是,29
哈哈,28
啊啊啊,27
冲冲,26
啊,24
有,22
哔,22
哈哈哈,22
！！,22
要,22
冲,22
哩,22
。,21
一定,21
中等,19
在,18
我们,18
一中,17
考上,16
哈哈哈哈,16
考,16
大,16
你,15
牛,14
老,14
？,14
这,13
逼,13
！！！！,13
作文,13
可以,13
人,13
南大,12
武汉,12
番茄,12
北大,11
考试,11
茄,11
泪,11
这个,10
上,10
目,10
上海,10
高中,10
见,10
中国,10
交大,10
努力,9
自己,9
考研,9
清华大学,9
学院,9
华大,9
师范,9
北,9
干杯,9
武汉大学,8
哥,8
！！！！！！,8
一本,8
心里,8
与,8
站,8
着,8
专升本,8
也,7
武大,7
同济,7
不,7
希望,7
师范大学,7
乾杯,7
定要,7
老师,7
第一,7
过,7
就,7
三年,7
光,7
工大,7
不是,7
都,7
南京,7
眼里,7
科大,7
浙大,6
想,6
未来,6
中,6
何,6
中高,6
和,6
师大,6
理工,6
吗,6
省,6
南开,6
！！！！！！！！,6
给,6
定会,6
清,6
们,6
呀,5
学习,5
川,5
后,5
哈工大,5
前浪,5
上海交大,5
祝,5
深,5
二中,5
政法,5
南京大学,5
去,5
一代,5
同学,5
阿巴,5
中科,5
好,5
真的,5
学校,5
名,5
赢,5
医学,4
平凡,4
升,4
医学院,4
我会,4
中学,4
很,4
考到,4
成功,4
bilibili,4
面,4
！！！！！！！,4
nana,4
题名,4
做,4
永远,4
华,4
鸭,4
西南,4
再见,4
金榜,4
代人,4
一代人,4
金榜题名,4
年后,4
北师,4
上岸,4
切切,4
b,4
顺利,4
boy,4
三月,4
！，,4
高三,4
说,4
梧州,4
小,4
伢,4
不要,4
火,4
二,4
LPL,4
高等,4
谁,4
一遍,4
老子,3
一生,3
鼓励,3
起来,3
赞美,3
信,3
狮子,3
上中,3
凡高,3
不平,3
选择,3
老马,3
时代,3
本,3
而,3
君子,3
美美,3
共,3
复读,3
试作,3
语文,3
实验,3
安徽,3
多,3
会,3
呵呵,3
啦,3
怎么,3
考古,3
゜゜つロ,3
。。,3
看着,3
满怀,3
火眼,3
只是,3
一个,3
羡慕,3
致,3
华中,3
场面,3
世界,3
演讲,3
必,3
科技,3
内心,3
强大,3
中科大,3
考考,3
。。。,3
四川,3
路上,3
山大,3
愿,3
因为,3
厨,3
西,3
来看,3
事业,3
北京,3
但,3
让,3
看,3
政,3
没,3
中山,3
再来,3
协,3
起飞,3
附中,3
重庆,3
上交,3
看到,3
行,3
不知,3
只,3
知道,3
皆,3
能,3
浙江,3
……,3
凤凰,2
南,2
゜つロ,2
真好,2
゜,2
那,2
很多,2
山东,2
不用,2
B,2
华东,2
！！！！！,2
高中毕业,2
樱花,2
各位,2
奔,2
为了,2
愿望,2
拼,2
同学们,2
平,2
一,2
建筑,2
不过,2
视频,2
厉害,2
哈,2
现在,2
全,2
前来,2
毕业,2
受教,2
FPX,2
尽力,2
马,2
东南,2
服,2
IG,2
好学,2
把,2
博,2
ヾ◍°∇°◍ﾉﾞ,2
政法大学,2
印度,2
高,2
大南,2
别,2
重点,2
京师,2
同济大学,2
有时,2
时间,2
东北,2
东北师范大学,2
这些,2
事,2
校,2
今年,2
交通,2
如果,2
牌,2
…,2
政法大,2
自我,2
报道,2
、,2
华中科,2
华中科技,2
华中科技大学,2
分,2
华工,2
上好,2
天,2
上高,2
还,2
已经,2
奋斗,2
相信,2
太原,2
素材,2
科,2
国政,2
fpxnb,2
弹幕,2
建筑系,2
术学,2
试题,2
考试题,2
吝啬,2
不吝,2
从不,2
宁波大学,2
宁波,2
否定,2
与否,2
nb,2
嘲讽,2
排,2
济宁,2
天大,2
朋友,2
会考,2
习惯,2
才,2
弱小,2
厦门大学,2
厦门,2
中加,2
山海,2
中央,2
美术,2
美术学,2
快乐,2
北师大,2
Ĭ,2
明白,2
南昌,2
无悔,2
一起,2
所有,2
太棒,2
鹏,2
功底,2
南昌大学,2
喜欢,2
台词,2
继续,2
年轻,2
中山大学,2
干,2
权利,2
走,2
文,2
地方,2
岁,2
属于,2
梦想,2
专,2
上台,2
杭,2
工作,2
放弃,2
六,2
美术学院,2
此生,2
厦大,2
理工大,2
考中,2
漂亮,2
前程似锦,2
前程,2
绝,2
广大,2
海南,2
海南大学,2
写,2
！！！！！！！！！！！,2
！！！！！！！！！！,2
遍,2
改变,2
三名,2
下次,2
昂,2
超越,2
没错,2
前三名,2
似锦,2
拜托,2
湖南,2
为,2
公,2
医科,2
个,2
台中,2
医科大,2
第四,2
月,2
医,2
理工大学,2
中大,2
大加,2
祖国,2
听闻,1
重刷,1
学生,1
党,1
双,1
一流,1
中山医学院,1
仲,1
中山医学,1
混,1
政治,1
吴,1
放给,1
政治课,1
lpl,1
尽量,1
苏州,1
飞,1
吉姆,1
农,1
搬,1
砖,1
翻涌,1
看完,1
百,1
迦,1
掌声,1
听懂,1
！…………！,1
Nana,1
精彩,1
朱,1
一旦,1
生人,1
陌生人,1
陌生,1
局,1
少数,1
云,1
华东师大,1
型,1
狙击,1
苏州大学,1
芜湖,1
活,1
切,1
江苏,1
高达,1
中山医,1
膝盖,1
重,1
财,1
那天,1
lplnioubi,1
北航,1
字,1
FPXIG,1
地球,1
炸,1
师,1
！！！？,1
居士,1
安徽大学,1
證,1
明,1
万一,1
郑,1
宁,1
累积,1
屡败屡战,1
拥有,1
weigo,1
国有,1
为国为民,1
为民,1
燃,1
沈阳,1
所,1
先辈,1
